As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2020-04-03,12:00,831,5757,133,6722,4,173,1,,,
2020-04-04,12:00,853,5883,151,6888,4,186,1,,,
2020-04-05,12:00,882,6057,132,7072,4,206,1,,,
2020-04-06,12:00,914,,,,4,216,1,12,,
2020-04-07,12:00,935,,,,4,236,1,14,,
2020-04-08,12:00,960,,,,4,264,1,14,,
2020-04-09,12:00,973,,,,4,293,1,14,,
2020-04-10,12:00,989,,,,4,309,1,15,,
2020-04-11,12:00,1000,,,,4,336,1,14,,
2020-04-12,12:00,1004,,,,4,360,1,13,,
2020-04-13,12:00,1009,,,,4,397,1,13,,
2020-04-14,12:00,1012,,,,4,434,1,13,,
2020-04-15,12:00,1016,,,,4,459,1,10,,
2020-04-16,12:00,1017,,,,4,485,1,9,,
2020-04-17,12:00,1021,,,,4,532,1,9,,
2020-04-18,12:00,1023,,,,4,568,1,9,,
2020-04-19,12:00,1025,,,,4,602,1,8,,
2020-04-20,12:00,1025,,,,4,630,1,8,,
2020-04-21,12:00,1029,,,,4,650,1,8,,
2020-04-22,12:00,1033,,,,4,678,1,8,,
2020-04-23,12:00,1035,,,,4,699,1,9,,
2020-04-24,12:00,1035,,,,4,725,1,7,,
2020-04-25,12:00,1037,,,,4,753,1,4,,
2020-04-26,12:00,1037,,,,4,772,1,4,,
2020-04-27,12:00,1037,,,,4,787,1,4,,
2020-04-28,12:00,1037,,,,4,811,1,4,,
2020-04-29,12:00,1037,,,,4,830,1,4,,
2020-04-30,12:00,1037,,,,4,846,1,4,,
2020-05-01,12:00,1039,,,,4,859,1,4,,
2020-05-02,12:00,1039,,,,4,864,1,4,,
2020-05-03,12:00,1039,,,,4,879,1,3,,
2020-05-04,12:00,1040,,,,4,900,1,1,,
2020-05-05,12:00,1040,,,,4,920,1,1,,
2020-05-06,12:00,1040,,,,4,932,1,2,,
2020-05-07,12:00,1044,,,,4,944,1,1,,
2020-05-08,12:00,1044,,,,4,960,1,1,,
2020-05-09,12:00,1044,,,,4,967,1,1,,
2020-05-10,12:00,1047,,,,4,982,1,1,,
2020-05-11,12:00,1047,,,,4,985,1,1,,
2020-05-12,12:00,1047,,,,4,991,1,1,,
2020-05-13,12:00,1050,,,,4,1008,1,1,,
2020-05-14,12:00,1051,,,,4,1009,1,1,,
2020-05-15,12:00,1052,,,,4,1019,1,1,,
2020-05-16,12:00,1052,,,,4,1022,1,1,,
2020-05-17,12:00,1055,,,,4,1024,1,1,,
2020-05-18,12:00,1055,,,,4,1025,1,1,,
2020-05-19,12:00,1055,,,,4,1025,1,1,,
2020-05-20,12:00,1055,,,,4,1026,1,1,,
2020-05-21,12:00,1063,,,,4,1029,1,1,,
2020-05-22,12:00,1065,,,,4,1029,1,1,,
2020-05-23,12:00,1065,,,,4,1029,1,1,,
2020-05-24,12:00,1065,,,,4,1030,1,1,,
2020-05-25,12:00,1065,,,,4,1030,1,0,,
2020-05-26,12:00,1065,,,,4,1033,1,1,,
2020-05-27,12:00,1066,,,,4,1034,1,1,,
2020-05-28,12:00,1066,,,,4,1035,1,1,,
2020-05-29,12:00,1079,,,,4,1035,1,1,,
2020-05-30,12:00,1082,,,,4,1036,1,1,,
2020-05-31,12:00,1084,,,,4,1037,1,2,,
2020-06-01,12:00,1087,,,,4,1037,1,2,,
2020-06-02,12:00,1093,,,,4,1038,1,2,,
2020-06-03,12:00,1093,,,,4,1039,1,2,,
2020-06-04,12:00,1099,,,,4,1042,1,2,,
2020-06-05,12:00,1102,,,,4,1045,1,2,,
2020-06-06,12:00,1105,,,,4,1048,1,2,,
2020-06-07,12:00,1106,,,,4,1049,1,2,,
2020-06-08,12:00,1107,,,,4,1049,1,3,,
2020-06-09,12:00,1107,,,,4,1050,1,3,,
2020-06-10,12:00,1107,,,,4,1051,1,4,,
2020-06-11,12:00,1107,,,,4,1055,1,4,,
2020-06-12,12:00,1108,,,,4,1060,1,3,,
2020-06-13,12:00,1109,,,,4,1061,1,3,,
2020-06-14,12:00,1109,,,,4,1067,1,3,,
2020-06-15,12:00,1112,,,,4,1067,1,3,,
2020-06-16,12:00,1112,,,,4,1069,1,3,,
2020-06-17,12:00,1120,,,,4,1071,1,3,,
2020-06-18,12:00,1124,,,,4,1072,1,3,,
2020-06-19,12:00,1127,,,,4,1074,1,3,,
2020-06-20,12:00,1128,,,,4,1077,1,3,,
2020-06-21,12:00,1131,,,,5,1078,1,2,,
2020-06-22,12:00,1161,,,,5,1078,1,2,,
2020-06-23,12:00,1177,,,,6,1083,1,1,,
2020-06-24,12:00,1179,,,,6,1086,1,1,,
2020-06-25,12:00,1193,,,,7,1088,1,1,,
2020-06-26,12:00,1196,,,,7,1091,1,1,,
